	 Plot 35 (FL1-A/FSC-A)		
	P14		This Plot
	% of This Plot	Count	Count
A01	0.91%	208	22,904
A02	0.81%	184	22,751
A03	0.92%	209	22,631
A04	1.00%	227	22,724
A05	0.84%	191	22,747
A06	0.78%	177	22,661
A07	0.71%	162	22,705
A08	0.66%	150	22,641
A09	0.71%	162	22,829
A10	9.16%	2,060	22,477
A11	8.20%	1,848	22,525
A12	0.04%	9	23,482
B01	0.90%	205	22,793
B02	0.87%	196	22,558
B03	0.96%	217	22,633
B04	5.29%	1,182	22,344
B05	4.89%	1,091	22,330
B06	5.25%	1,170	22,303
B07	0.66%	150	22,618
B08	0.68%	155	22,747
B09	0.78%	178	22,855
B10	8.62%	1,918	22,245
B11	9.28%	2,070	22,300
B12	0.31%	73	23,426
C01	0.82%	186	22,753
C02	0.83%	190	22,839
C03	0.92%	209	22,812
C04	6.84%	1,528	22,329
C05	7.10%	1,585	22,328
C06	7.13%	1,598	22,409
C07	0.56%	128	22,745
C08	0.69%	156	22,771
C09	0.74%	170	22,868
C10	8.84%	1,985	22,458
C11	9.07%	2,028	22,355
C12	0.03%	8	23,417
D01	0.81%	186	22,864
D02	0.85%	194	22,761
D03	0.93%	212	22,797
D04	7.38%	1,655	22,426
D05	7.78%	1,753	22,530
D06	7.35%	1,642	22,341
D07	0.64%	146	22,898
D08	0.68%	154	22,793
D09	0.69%	158	22,802
D10	9.09%	2,026	22,294
D11	8.67%	1,928	22,236
D12	0.03%	7	23,215
E01	0.99%	229	23,076
E02	0.88%	201	22,927
E03	0.94%	216	22,938
E04	7.97%	1,786	22,417
E05	7.82%	1,754	22,440
E06	8.01%	1,784	22,277
E07	7.12%	1,594	22,383
E08	6.10%	1,357	22,244
E09	6.49%	1,444	22,236
E10	8.94%	1,998	22,350
E11	8.79%	1,961	22,306
E12	0.03%	6	23,429
F01	3.54%	808	22,835
F02	3.16%	719	22,785
F03	3.48%	789	22,678
F04	8.62%	1,934	22,424
F05	8.79%	1,958	22,263
F06	8.80%	1,970	22,384
F07	9.03%	2,013	22,303
F08	9.44%	2,124	22,491
F09	9.11%	2,047	22,471
F10	9.74%	2,178	22,359
F11	8.92%	2,000	22,412
F12	0.01%	2	23,434
G01	6.63%	1,494	22,517
G02	6.63%	1,495	22,563
G03	6.57%	1,478	22,511
G04	8.24%	1,845	22,390
G05	7.98%	1,798	22,535
G06	8.31%	1,864	22,439
G07	8.62%	1,947	22,596
G08	8.12%	1,831	22,552
G09	7.99%	1,804	22,578
G10	7.50%	1,683	22,438
G11	8.59%	1,920	22,350
G12	0.02%	4	23,251
H01	8.10%	1,821	22,479
H02	8.49%	1,896	22,344
H03	8.70%	1,945	22,368
H04	9.08%	2,020	22,257
H05	8.38%	1,870	22,303
H06	8.44%	1,891	22,403
H07	8.62%	1,923	22,306
H08	8.93%	1,998	22,386
H09	8.86%	1,976	22,306
H10	8.55%	1,909	22,320
H11	8.81%	1,970	22,363
H12	0.02%	4	23,294
