	 Plot 35 (FL1-A/FSC-A)		
	P14		This Plot
	% of This Plot	Count	Count
A01	0.66%	143	21,546
A02	0.76%	164	21,526
A03	0.78%	168	21,502
A04	0.70%	151	21,673
A05	0.70%	151	21,578
A06	0.90%	193	21,441
A07	0.52%	111	21,378
A08	0.46%	99	21,561
A09	0.55%	118	21,519
A10	7.29%	1,548	21,242
A11	6.96%	1,476	21,213
A12	0.03%	7	23,018
B01	0.65%	140	21,606
B02	0.69%	152	21,930
B03	0.68%	149	21,778
B04	4.35%	941	21,638
B05	4.21%	907	21,533
B06	4.09%	880	21,516
B07	0.51%	110	21,607
B08	0.45%	97	21,794
B09	0.57%	124	21,863
B10	5.95%	1,277	21,465
B11	6.44%	1,376	21,375
B12	0.02%	5	23,130
C01	0.69%	150	21,813
C02	0.64%	140	21,948
C03	0.66%	145	21,858
C04	5.51%	1,176	21,350
C05	5.72%	1,219	21,327
C06	5.95%	1,265	21,251
C07	1.00%	214	21,490
C08	0.82%	177	21,657
C09	0.82%	177	21,605
C10	6.47%	1,382	21,357
C11	6.47%	1,382	21,346
C12	0.05%	11	23,261
D01	0.87%	191	21,968
D02	1.02%	223	21,941
D03	0.94%	206	21,854
D04	6.03%	1,295	21,463
D05	6.03%	1,287	21,357
D06	6.31%	1,349	21,378
D07	5.74%	1,219	21,245
D08	5.78%	1,238	21,408
D09	5.77%	1,229	21,311
D10	6.69%	1,422	21,259
D11	6.46%	1,373	21,255
D12	0.05%	12	23,089
E01	2.15%	471	21,953
E02	2.17%	472	21,755
E03	2.24%	489	21,843
E04	6.32%	1,350	21,367
E05	6.10%	1,304	21,368
E06	6.20%	1,327	21,410
E07	5.94%	1,265	21,306
E08	6.07%	1,291	21,283
E09	5.84%	1,234	21,148
E10	6.42%	1,368	21,295
E11	6.53%	1,387	21,232
E12	0.03%	7	23,252
F01	5.20%	1,122	21,580
F02	4.63%	993	21,457
F03	4.86%	1,042	21,462
F04	6.33%	1,352	21,358
F05	6.31%	1,339	21,213
F06	6.03%	1,289	21,377
F07	6.02%	1,279	21,261
F08	5.85%	1,250	21,367
F09	6.11%	1,304	21,335
F10	5.92%	1,258	21,246
F11	6.05%	1,281	21,171
F12	0.03%	7	23,306
G01	6.17%	1,335	21,648
G02	6.02%	1,283	21,327
G03	5.66%	1,206	21,290
G04	5.77%	1,239	21,483
G05	5.87%	1,255	21,379
G06	5.95%	1,263	21,240
G07	5.90%	1,256	21,302
G08	6.13%	1,308	21,354
G09	5.93%	1,262	21,267
G10	6.24%	1,324	21,222
G11	6.25%	1,326	21,230
G12	0.03%	6	23,354
H01	7.22%	1,552	21,483
H02	6.61%	1,411	21,358
H03	6.81%	1,460	21,429
H04	6.46%	1,384	21,423
H05	6.35%	1,356	21,355
H06	6.35%	1,359	21,391
H07	6.28%	1,351	21,504
H08	6.55%	1,406	21,450
H09	6.53%	1,395	21,375
H10	6.66%	1,421	21,352
H11	6.60%	1,405	21,279
H12	0.00%	1	23,340
