37909	30787	257008	96437	256615	119588	264007	122804	249731	130291	272160	140598	256032	128285	287851	131741	259652	124433	255490	122785	273572	148038	40151	29616
42175	42962	972	3054	214487	92923	1052	7273	401	280	22320	37433	635	1002	313	6030	888	1943	1125	1883	421	1162	42195	49616
401	124294	721	4086	245039	145464	1125	12040	561	930	27354	132591	729	3238	351	5870	981	12199	1468	2651	561	1563	282819	344
245	118376	4788	52771	224385	123777	2474	20697	4548	3074	136686	98363	2083	26609	2797	21899	6843	25667	18685	23764	1623	21165	222000	397
368	138950	11941	70905	242554	162745	7021	86183	9521	18110	120561	113770	8053	99217	5610	34705	6486	42662	17039	78644	5117	39159	251594	361
258	96100	48386	114167	206239	112952	46501	95683	56800	47414	177234	126220	40337	100079	15829	41600	103128	82462	102425	81651	23623	60412	209955	341
280	127590	60521	122209	248021	133091	57177	129851	77500	86154	195959	145623	71287	132631	32890	65613	113889	109906	158574	135435	66154	99514	280316	120
361	111864	156384	124066	205384	128037	125843	112122	150648	102746	224723	112717	137606	111288	90105	80140	191812	112499	193978	122682	126874	100805	220330	321
200	139943	188156	133826	252097	128762	179990	139110	188071	123519	236610	143498	162288	144491	107357	99514	224067	143319	240127	148404	173902	115722	260984	260
218	113255	213076	116564	210111	116867	182513	107635	186904	109243	199979	109625	186526	104855	165487	110367	251838	130768	212062	110553	191096	104716	237345	357
248	130271	216176	129318	265240	134243	229871	144206	217587	134243	254184	137425	219245	126081	199741	118734	226889	123102	269047	123645	227366	134660	271364	180
182	106396	205126	116847	220926	98264	193044	106086	239846	125048	214348	91871	224703	105451	185811	98836	245377	109044	231720	107635	211645	115160	211724	635
258	128599	245973	144587	242713	113492	228604	131284	254602	122407	242176	132495	248220	141412	234324	130946	257803	122447	256414	141929	240347	120223	277845	361
218	104597	223550	111586	215451	104220	197574	87626	219118	99673	206636	99852	235516	106602	216335	115338	210512	89886	210870	115537	205654	93220	248637	324
41580	36540	253011	119834	247524	128802	234423	121335	209538	124433	258442	122665	225168	133193	239910	140499	224285	116927	240347	126558	250168	142340	48664	41203
37691	43844	203258	102626	203025	110255	192090	116123	197634	102155	204209	109481	185542	96775	194574	103068	179314	109204	211227	117046	223967	105451	44259	41880
