23664	55510	50192	68211	51382	75436	50866	66326	59876	67239	53706	66294	50498	72538	47255	66306	52811	58129	58348	72101	49894	64149	52082	26048
139	61761	18725	21681	21839	27672	34933	36600	34755	33068	35547	9322	19756	1924	31422	37255	32453	29515	25053	5309	26799	33088	53164	119
79	61146	18447	22831	20297	28545	31521	44993	26263	34596	31600	8886	15888	3603	25390	35925	29474	30787	33402	6585	27632	37394	56998	119
198	60100	37969	54022	44894	60114	56760	61781	49977	58090	44305	36263	42261	14281	49716	51938	43824	47771	55728	31699	39695	52196	56284	179
99	54233	34087	56343	50192	56939	52057	64738	43723	58407	52732	37036	40449	21086	50132	56443	50311	55827	42413	31898	44179	52295	61940	99
119	60987	44100	62218	63011	67378	62734	76309	49954	65413	61067	52176	55971	38564	57693	66981	57812	71545	54101	50291	54617	62972	58268	179
99	63448	50178	71129	56959	79981	66326	79068	69878	78611	69323	61602	60352	46164	65333	66048	55409	69502	54538	52057	53148	70203	63091	179
179	67297	57454	73907	58824	85441	70712	82522	64242	88715	69283	71228	65552	69342	64460	77282	65988	81589	65869	64897	65830	79025	56879	100
79	66266	52890	75475	56592	84269	66802	85896	68620	82323	65175	78684	61663	73252	66484	83396	69898	77004	67894	61067	65051	78889	59320	79
119	61202	49120	72756	72697	79425	71823	84328	70573	84467	66822	81847	68033	80934	65115	85638	68727	77817	63627	76567	59995	88020	49596	139
99	66604	49319	78869	66008	80557	66008	93903	71823	81430	63309	83157	64520	81290	64282	77976	69561	78036	61904	72260	65810	85896	53405	180
119	62145	56304	70494	67239	81450	62575	84666	69600	80398	59320	77599	64837	77180	65633	74344	77282	80954	70752	78711	65893	75923	48842	180
139	69620	58288	75158	65135	72220	69680	85598	67958	79703	64460	77060	75257	80537	71744	83236	73130	82694	67755	80388	69742	79227	62456	121
159	60521	47572	73550	61042	72121	49140	73191	60741	81629	64540	79405	69878	75475	64341	78691	65011	78223	65770	75872	66028	74046	53903	119
79	63327	57514	65532	41997	72062	63904	69422	56383	63984	55292	70891	64718	71228	63329	70143	56522	68985	54597	76031	48354	65290	51402	139
24061	58487	57117	66306	53221	63825	55232	65830	51601	62039	53345	61840	52990	62225	47913	65790	48922	66314	51541	67576	49100	62158	45567	27394
